,Unnamed: 0,num_iters,best_losses,best_params,k1,k2,theta1,theta2
0,0,100,0.0628796091108938,"{'k1': 4.099194182157944e-05, 'k2': 3.741410327747182e-05, 'theta1': 6.9532668962702155, 'theta2': 4.945977453467927}",4.099194182157944e-05,3.741410327747182e-05,6.9532668962702155,4.945977453467927
1,1,100,0.0638537977506161,"{'k1': 3.944741350464069e-05, 'k2': 3.6487078215736715e-05, 'theta1': 1.4671157747431152, 'theta2': 3.6877134959873903}",3.944741350464069e-05,3.6487078215736715e-05,1.4671157747431152,3.6877134959873903
2,2,100,0.0731808262026951,"{'k1': 2.6554717431404876e-05, 'k2': 8.5805820687964e-05, 'theta1': 8.014124562353235, 'theta2': 9.783926174387682}",2.6554717431404876e-05,8.5805820687964e-05,8.014124562353235,9.783926174387682
3,3,100,0.0647671868126846,"{'k1': 6.5567731569435e-05, 'k2': 3.578250941229327e-05, 'theta1': 1.188802269188727, 'theta2': 9.31142453548797}",6.5567731569435e-05,3.578250941229327e-05,1.188802269188727,9.31142453548797
4,4,100,0.0677927152465308,"{'k1': 2.979456799547187e-05, 'k2': 6.221642432357883e-05, 'theta1': 3.2992508477232025, 'theta2': 9.47989546683321}",2.979456799547187e-05,6.221642432357883e-05,3.2992508477232025,9.47989546683321
5,5,100,0.0658541972958152,"{'k1': 3.329852196375711e-05, 'k2': 2.4699945904799138e-05, 'theta1': 0.338087166112105, 'theta2': 3.229809235122641}",3.329852196375711e-05,2.4699945904799138e-05,0.338087166112105,3.229809235122641
6,6,100,0.0727598421867947,"{'k1': 2.5130561760568854e-05, 'k2': 3.158507477570617e-05, 'theta1': 6.628974781273907, 'theta2': 9.094734617528525}",2.5130561760568854e-05,3.158507477570617e-05,6.628974781273907,9.094734617528525
7,7,100,0.0690113244330009,"{'k1': 4.6422011122726394e-05, 'k2': 0.000261465390115239, 'theta1': 9.984259549342884, 'theta2': 9.442555592459275}",4.6422011122726394e-05,0.000261465390115239,9.984259549342884,9.442555592459275
8,8,100,0.0651517292937794,"{'k1': 5.020895171488956e-05, 'k2': 0.0001363841963014408, 'theta1': 9.740881458721486, 'theta2': 9.428421904936165}",5.020895171488956e-05,0.0001363841963014408,9.740881458721486,9.428421904936165
9,9,100,0.0759124166562549,"{'k1': 3.7163131030720856e-05, 'k2': 0.0004249488051044109, 'theta1': 4.722094932390404, 'theta2': 8.258172223434585}",3.7163131030720856e-05,0.0004249488051044109,4.722094932390404,8.258172223434585
10,10,200,0.0627149864994628,"{'k1': 4.378421218359721e-05, 'k2': 7.25538642726063e-05, 'theta1': 1.6910528417458568, 'theta2': 8.038083262998892}",4.378421218359721e-05,7.25538642726063e-05,1.6910528417458568,8.038083262998892
11,11,200,0.0633369990181735,"{'k1': 3.576777091801883e-05, 'k2': 6.091285906198799e-05, 'theta1': 7.255999541636523, 'theta2': 9.199633673003303}",3.576777091801883e-05,6.091285906198799e-05,7.255999541636523,9.199633673003303
12,12,200,0.0610934258382509,"{'k1': 4.645441702784611e-05, 'k2': 3.437760199973854e-05, 'theta1': 9.128503168547674, 'theta2': 8.825051184336061}",4.645441702784611e-05,3.437760199973854e-05,9.128503168547674,8.825051184336061
13,13,200,0.0611739361676085,"{'k1': 4.7388031312125474e-05, 'k2': 3.471320196396723e-05, 'theta1': 1.2508324808433442, 'theta2': 8.563127557095727}",4.7388031312125474e-05,3.471320196396723e-05,1.2508324808433442,8.563127557095727
14,14,200,0.0614736326353505,"{'k1': 4.6120601922277326e-05, 'k2': 3.481547421452297e-05, 'theta1': 3.3622557982144614, 'theta2': 7.223151006511094}",4.6120601922277326e-05,3.481547421452297e-05,3.3622557982144614,7.223151006511094
15,15,200,0.0626669852665818,"{'k1': 4.246962145471267e-05, 'k2': 2.4463150711537745e-05, 'theta1': 9.23808980043703, 'theta2': 8.240184054501437}",4.246962145471267e-05,2.4463150711537745e-05,9.23808980043703,8.240184054501437
16,16,200,0.0636887588321257,"{'k1': 5.6701741413397254e-05, 'k2': 4.041476164142031e-05, 'theta1': 2.0562956656841953, 'theta2': 5.763161452714045}",5.6701741413397254e-05,4.041476164142031e-05,2.0562956656841953,5.763161452714045
17,17,200,0.062103986394536,"{'k1': 4.5879986004924666e-05, 'k2': 6.534900823205791e-05, 'theta1': 3.4365140785533113, 'theta2': 8.314235731023576}",4.5879986004924666e-05,6.534900823205791e-05,3.4365140785533113,8.314235731023576
18,18,200,0.0633522299590761,"{'k1': 4.0028496867478656e-05, 'k2': 3.386878354252247e-05, 'theta1': 0.26841107081952753, 'theta2': 3.7723747940120695}",4.0028496867478656e-05,3.386878354252247e-05,0.26841107081952753,3.7723747940120695
19,19,200,0.061578316790713,"{'k1': 4.3925863939609086e-05, 'k2': 3.184383915284084e-05, 'theta1': 8.903462206647292, 'theta2': 7.156994485640332}",4.3925863939609086e-05,3.184383915284084e-05,8.903462206647292,7.156994485640332
20,20,400,0.0609487412826814,"{'k1': 4.492179331714617e-05, 'k2': 3.515481772543394e-05, 'theta1': 3.202701967394041, 'theta2': 9.445713644633337}",4.492179331714617e-05,3.515481772543394e-05,3.202701967394041,9.445713644633337
21,21,400,0.0628613600106012,"{'k1': 4.42642067465698e-05, 'k2': 6.54770340681043e-05, 'theta1': 6.447237120840239, 'theta2': 7.191797651200325}",4.42642067465698e-05,6.54770340681043e-05,6.447237120840239,7.191797651200325
22,22,400,0.0618470439267673,"{'k1': 5.071069534065255e-05, 'k2': 3.996731137133837e-05, 'theta1': 1.2908027469061594, 'theta2': 7.512900282080843}",5.071069534065255e-05,3.996731137133837e-05,1.2908027469061594,7.512900282080843
23,23,400,0.0632498409870527,"{'k1': 4.3617689290664015e-05, 'k2': 3.049489822830143e-05, 'theta1': 1.4365395413591204, 'theta2': 2.045495539777272}",4.3617689290664015e-05,3.049489822830143e-05,1.4365395413591204,2.045495539777272
24,24,400,0.0619553491669769,"{'k1': 5.3119651413137974e-05, 'k2': 5.000032314821376e-05, 'theta1': 3.9864060736900315, 'theta2': 9.951962307360798}",5.3119651413137974e-05,5.000032314821376e-05,3.9864060736900315,9.951962307360798
25,25,400,0.0616371825140464,"{'k1': 4.625370528942209e-05, 'k2': 2.7942965011980062e-05, 'theta1': 8.927102528525323, 'theta2': 9.200739796985253}",4.625370528942209e-05,2.7942965011980062e-05,8.927102528525323,9.200739796985253
26,26,400,0.0618421065016462,"{'k1': 4.250780542513109e-05, 'k2': 3.845596311114314e-05, 'theta1': 8.631848629953856, 'theta2': 6.922192839899957}",4.250780542513109e-05,3.845596311114314e-05,8.631848629953856,6.922192839899957
27,27,400,0.0623123812810443,"{'k1': 5.1384470903786256e-05, 'k2': 3.242004570711523e-05, 'theta1': 4.843467237071501, 'theta2': 5.8200390544765614}",5.1384470903786256e-05,3.242004570711523e-05,4.843467237071501,5.8200390544765614
28,28,400,0.0622690747896796,"{'k1': 4.402072815033639e-05, 'k2': 3.175337208987289e-05, 'theta1': 8.949546923362272, 'theta2': 4.7808679832707845}",4.402072815033639e-05,3.175337208987289e-05,8.949546923362272,4.7808679832707845
29,29,400,0.0614320348695356,"{'k1': 4.0772866457846574e-05, 'k2': 6.0249031482653614e-05, 'theta1': 6.988226225781611, 'theta2': 9.781944219882877}",4.0772866457846574e-05,6.0249031482653614e-05,6.988226225781611,9.781944219882877
30,30,800,0.061877013320461,"{'k1': 4.7351758587148034e-05, 'k2': 4.76424239942254e-05, 'theta1': 4.144124308936785, 'theta2': 7.987207498040753}",4.7351758587148034e-05,4.76424239942254e-05,4.144124308936785,7.987207498040753
31,31,800,0.0613107498640614,"{'k1': 4.937449793084532e-05, 'k2': 4.521327453803403e-05, 'theta1': 6.967726916416678, 'theta2': 9.518062381582494}",4.937449793084532e-05,4.521327453803403e-05,6.967726916416678,9.518062381582494
32,32,800,0.061090893160496,"{'k1': 4.23834177268443e-05, 'k2': 3.3570403928341864e-05, 'theta1': 6.943381428242265, 'theta2': 9.893690166874315}",4.23834177268443e-05,3.3570403928341864e-05,6.943381428242265,9.893690166874315
33,33,800,0.0619136685497691,"{'k1': 5.008479155298188e-05, 'k2': 3.842210489471732e-05, 'theta1': 3.8287949703135014, 'theta2': 6.936958866762936}",5.008479155298188e-05,3.842210489471732e-05,3.8287949703135014,6.936958866762936
34,34,800,0.0609510596246865,"{'k1': 4.6657113192851594e-05, 'k2': 4.061533868575215e-05, 'theta1': 2.8682204982735096, 'theta2': 9.550132445097098}",4.6657113192851594e-05,4.061533868575215e-05,2.8682204982735096,9.550132445097098
35,35,800,0.0610175851180047,"{'k1': 4.468594073417835e-05, 'k2': 4.391594133339932e-05, 'theta1': 7.181191473278455, 'theta2': 9.774654778284647}",4.468594073417835e-05,4.391594133339932e-05,7.181191473278455,9.774654778284647
36,36,800,0.0609651462710225,"{'k1': 4.427270485090903e-05, 'k2': 3.861205463075714e-05, 'theta1': 4.367988101965712, 'theta2': 9.414077576672522}",4.427270485090903e-05,3.861205463075714e-05,4.367988101965712,9.414077576672522
37,37,800,0.0611074216683576,"{'k1': 4.682711982775954e-05, 'k2': 3.700862995341085e-05, 'theta1': 4.074784854425746, 'theta2': 8.689333366318557}",4.682711982775954e-05,3.700862995341085e-05,4.074784854425746,8.689333366318557
38,38,800,0.0615732571677932,"{'k1': 4.324136100298657e-05, 'k2': 3.439948892950125e-05, 'theta1': 7.651535825352102, 'theta2': 7.17626072498304}",4.324136100298657e-05,3.439948892950125e-05,7.651535825352102,7.17626072498304
39,39,800,0.0611897964569262,"{'k1': 4.351821210491958e-05, 'k2': 4.030794880435124e-05, 'theta1': 0.9256362671282643, 'theta2': 8.873765402165807}",4.351821210491958e-05,4.030794880435124e-05,0.9256362671282643,8.873765402165807
