,theta,k1,k2,j1,j2,loss,int_time
0,0.1,1e-07,1e-07,49977.625,0.005000000353902578,0.49982625246047974,0.0062372684478759766
1,0.1,1e-07,0.00011119999999999999,49539.80078125,0.9324361085891724,0.5047223567962646,0.15469622611999512
2,0.1,1e-07,0.00022229999999999998,49509.3984375,1.2505533695220947,0.5075995326042175,4.364661455154419
3,0.1,1e-07,0.00033339999999999997,49495.9140625,1.4696756601333618,0.5096558928489685,10.173089027404785
4,0.1,1e-07,0.00044449999999999996,49488.046875,1.6421440839767456,0.5113019347190857,16.89016032218933
5,0.1,1e-07,0.0005556,49482.671875,1.786653995513916,0.5126932263374329,24.262954235076904
6,0.1,1e-07,0.0006666999999999999,49478.75390625,1.9122427701950073,0.5139099359512329,32.17614722251892
7,0.1,1e-07,0.0007777999999999998,49475.7578125,2.024040937423706,0.5149979591369629,40.428261280059814
8,0.1,1e-07,0.0008888999999999999,49473.54296875,2.125269889831543,0.5159881114959717,49.49088525772095
9,0.1,1e-07,0.001,49471.51171875,2.2181098461151123,0.5168961882591248,58.78192615509033
10,0.1,0.00011119999999999999,1e-07,49784.3125,0.008535010740160942,0.4979284703731537,68.6369080543518
11,0.1,0.00011119999999999999,0.00011119999999999999,27074.392578125,5.559993267059326,0.326343834400177,68.81371426582336
12,0.1,0.00011119999999999999,0.00022229999999999998,17550.5234375,10.741473197937012,0.2829199731349945,92.76601910591125
13,0.1,0.0001112,0.0003334,11582.4130859375,15.708703994750977,0.2729111611843109,137.7739772796631
14,0.1,0.0001112,0.0004445,7642.4130859375,20.506216049194336,0.28148627281188965,87.68387579917908
